date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:08:10	201132/201132	---MC-	200	added ('OK')	application/octet-stream	date:Sat,%2001%20Apr%202023%2004:08:08%20GMT	https://yqjh-auto.my.canva.site/fonts/d257a7100844bc3f98c9021168b6249e.woff2	C:/My%20Web%20Sites/yqjh/yqjh-auto.my.canva.site/fonts/d257a7100844bc3f98c9021168b6249e.woff2	(from https://yqjh-auto.my.canva.site/)
12:08:11	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sat,%2001%20Apr%202023%2004:08:10%20GMT	http://yqjh-auto.my.canva.site/images/6590d55fc67b241fef35777a253200fe.png	C:/My%20Web%20Sites/yqjh/yqjh-auto.my.canva.site/images/6590d55fc67b241fef35777a253200fe.png	(from https://yqjh-auto.my.canva.site/)
12:08:11	203232/203232	---MC-	200	added ('OK')	application/octet-stream	date:Sat,%2001%20Apr%202023%2004:08:10%20GMT	https://yqjh-auto.my.canva.site/fonts/1060345c54d396e76d73f1da7ee200bd.woff2	C:/My%20Web%20Sites/yqjh/yqjh-auto.my.canva.site/fonts/1060345c54d396e76d73f1da7ee200bd.woff2	(from https://yqjh-auto.my.canva.site/)
12:08:11	4486120/4486120	---MC-	200	added ('OK')	application/octet-stream	date:Sat,%2001%20Apr%202023%2004:08:01%20GMT	https://yqjh-auto.my.canva.site/fonts/ed21d9ecf31ad25f15eebbf7da9586c4.woff2	C:/My%20Web%20Sites/yqjh/yqjh-auto.my.canva.site/fonts/ed21d9ecf31ad25f15eebbf7da9586c4.woff2	(from https://yqjh-auto.my.canva.site/)
12:08:13	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sat,%2001%20Apr%202023%2004:08:11%20GMT	http://yqjh-auto.my.canva.site/images/82ca36770005b7351e28866a8e56be82.svg	C:/My%20Web%20Sites/yqjh/yqjh-auto.my.canva.site/images/82ca36770005b7351e28866a8e56be82.svg	(from https://yqjh-auto.my.canva.site/)
12:08:13	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sat,%2001%20Apr%202023%2004:08:12%20GMT	http://yqjh-auto.my.canva.site/_link/?link=https%3A%2F%2Fwww.instagram.com%2Fyqjh.auto%2F&target=B%2FI2R6VbyL%2Bvd%2BPgewr0nbkdL4YJVf3hbUaR10GeUDWy4vJ7eCsVvX7HC4LD6kzqLJN6MnI%2BcnuiWPklf24F4TXT64ttxaVPexRyq%2BpLs5n%2FEn447Ox5sRkEwIPm&iv=%2FCcnaz%2Bra5aFTfN%2B	C:/My%20Web%20Sites/yqjh/yqjh-auto.my.canva.site/_link/indexce94.html	(from https://yqjh-auto.my.canva.site/)
12:08:13	167474/167474	---MC-	200	added ('OK')	image/png	date:Sat,%2001%20Apr%202023%2004:08:11%20GMT	https://yqjh-auto.my.canva.site/images/6590d55fc67b241fef35777a253200fe.png	C:/My%20Web%20Sites/yqjh/yqjh-auto.my.canva.site/images/6590d55fc67b241fef35777a253200fe.png	(from https://yqjh-auto.my.canva.site/)
12:08:15	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sat,%2001%20Apr%202023%2004:08:13%20GMT	http://yqjh-auto.my.canva.site/js/73ad2651535b7ecadd366d5fa045dc32c1cdb8fc38f8243601b62b64f4123420.js	C:/My%20Web%20Sites/yqjh/yqjh-auto.my.canva.site/js/73ad2651535b7ecadd366d5fa045dc32c1cdb8fc38f8243601b62b64f4123420.js	(from https://yqjh-auto.my.canva.site/)
12:08:15	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sat,%2001%20Apr%202023%2004:08:13%20GMT	http://yqjh-auto.my.canva.site/_link/?link=https%3A%2F%2Fyqjh-auto.my.canva.site%2F404&target=%2Fm0Te2x6HyulajRAkEMqeO19zkd8%2FB4wQ8CvUD%2FdD2hGSkdqPi7FFZl8Wmln%2BBSfcsCkjP%2FO0eEuL6ouCcoRbnc6k7dYu2iRg%2BSJUJETSbfjki9881x4gSSq9m8%3D&iv=we8QIZGzZWuSpBxg	C:/My%20Web%20Sites/yqjh/yqjh-auto.my.canva.site/_link/indexc58f.html	(from https://yqjh-auto.my.canva.site/)
12:08:15	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sat,%2001%20Apr%202023%2004:08:14%20GMT	http://yqjh-auto.my.canva.site/_link/?link=https%3A%2F%2Fyqjh-auto.my.canva.site%2Flist&target=gyVMa3Ol4OegZjdYXnxkRgSUdw3B6rnIFAku3DftDr5o%2BtQaDRY%2F0R4UAXwl8%2F%2B27ICKBqTuZCZIhEsWK0HQhK25IJN4qDKISPXYpn0YCQAOdxHliE%2FYICCEKon%2B&iv=2%2BGnArAqR3iveyxs	C:/My%20Web%20Sites/yqjh/yqjh-auto.my.canva.site/_link/index59e1.html	(from https://yqjh-auto.my.canva.site/)
